,STATE,COUNTY,County_Population,countyFIPS,County_Area in m2 - Total area,County_Area in m2 - Water area,County_Area in m2 - Land area,County_Population_Density_m2
49,Alabama,Monroe County,21512,01099,2679150479.1504793,22636622.636622638,2656487956.4879565,8.097909854046623e-06
50,Alabama,Montgomery County,226941,01101,2071768971.7689717,40559440.55944056,2031209531.2095313,0.0001117270259483583
51,Alabama,Morgan County,119122,01103,1551541051.5410514,51074851.07485107,1500492100.4921005,7.938862188007042e-05
52,Alabama,Perry County,9486,01105,1874851074.851075,10929810.92981093,1863921263.921264,5.089270766750966e-06
53,Alabama,Pickens County,20298,01107,2305439005.4390054,22584822.584822588,2282854182.8541827,8.891500890618442e-06
54,Alabama,Pike County,33403,01109,1743097643.0976431,2356902.356902357,1740714840.714841,1.9189242958532337e-05
55,Alabama,Randolph County,22574,01111,1512898212.898213,9298109.298109299,1503626003.6260035,1.501304177073465e-05
56,Alabama,Russell County,58213,01113,1676223776.2237763,15669515.66951567,1660554260.5542605,3.505636725208223e-05
57,Alabama,St. Clair County,87306,01115,1692929292.929293,56306656.3066563,1636622636.6226366,5.334522329482513e-05
58,Alabama,Shelby County,211261,01117,2096684796.6847966,63688163.68816369,2032970732.970733,0.00010391738384314524
59,Alabama,Sumter County,12985,01119,2365501165.501166,24423724.423724424,2341077441.077441,5.546591399395944e-06
60,Alabama,Talladega County,80565,01121,1969204869.204869,60942760.942760944,1908262108.2621083,4.221904299790982e-05
61,Alabama,Tallapoosa County,40636,01123,1984589484.5894847,128800828.8008288,1855788655.7886558,2.1896889968179533e-05
62,Alabama,Tuscaloosa County,206213,01125,3499740999.7409997,76405076.4050764,3423335923.335923,6.0237442254586725e-05
63,Alabama,Walker County,64493,01127,2085444185.4441855,36260036.26003626,2049184149.1841493,3.1472525309976114e-05
64,Alabama,Washington County,16643,01129,2819399119.3991194,21652421.65242165,2797746697.746698,5.948715805260088e-06
65,Alabama,Wilcox County,10809,01131,2350194250.19425,48976948.97694898,2301217301.2173014,4.697079234665166e-06
66,Alabama,Winston County,23875,01133,1636544936.5449367,48925148.92514893,1587619787.6197877,1.5038235342099252e-05
67,Alaska,Aleutians East Borough,3425,02013,38875576275.57628,20792333592.33359,18083242683.242683,1.894018711131863e-07
68,Alaska,Aleutians West Census Area,5750,02016,36561616161.616165,25190779590.77959,11370836570.83657,5.056795921900197e-07
69,Alaska,Anchorage Municipality,296112,02020,5078995078.995079,663869463.8694638,4415125615.125615,6.706762747260483e-05
70,Alaska,Bethel Census Area,18040,02050,117856021756.02176,12779590779.590778,105076405076.40508,1.7168459452797634e-07
71,Alaska,Bristol Bay Borough,890,02060,2298782698.7826986,993835793.835794,1304946904.946905,6.820200857415052e-07
72,Alaska,Denali Borough,2232,02068,33092255892.255894,66070966.07096607,33026184926.184925,6.758273790898419e-08
73,Alaska,Dillingham Census Area,4975,02070,54170448070.44807,6077259777.259777,48093188293.18829,1.0344500284886782e-07
74,Alaska,Fairbanks North Star Borough,99653,02090,19279176379.17638,273193473.1934732,19005982905.982906,5.2432436929441924e-06
75,Alaska,Haines Borough,2518,02100,7059052059.052059,1053872053.8720539,6005180005.180005,4.193046666091607e-07
76,Alaska,Hoonah-Angoon Census Area,2132,02105,28267676767.676765,8778140378.140377,19489536389.53639,1.093920325957387e-07
77,Alaska,Juneau City and Borough,32330,02110,8427583527.583528,1429577829.5778296,6998005698.005697,4.6198876358750974e-06
78,Alaska,Kenai Peninsula Borough,58220,02122,64108572908.57291,22473426573.426575,41635146335.14633,1.398337825724262e-06
79,Alaska,Ketchikan Gateway Borough,13804,02130,17232737632.737633,4649443149.44315,12583294483.294483,1.0970100094475354e-06
80,Alaska,Kodiak Island Borough,13649,02150,31136570836.570835,14173141673.141674,16963429163.429163,8.046132576440016e-07
81,Alaska,Kusilvak Census Area,8198,02158,,,,
82,Alaska,Lake and Peninsula Borough,1375,02164,85269360269.36028,24010593110.59311,61258767158.76716,2.2445766765699827e-08
83,Alaska,Matanuska-Susitna Borough,103464,02170,65417275317.27532,1682750582.750583,63734524734.52474,1.6233587750275316e-06
84,Alaska,Nome Census Area,9925,02180,73239109039.10904,13768091168.091167,59471017871.01787,1.6688801293977466e-07
85,Alaska,North Slope Borough,9797,02185,245522610722.61072,15801269101.2691,229721341621.34164,4.264732188508965e-08
86,Alaska,Northwest Arctic Borough,7734,02188,105539860139.86015,13406759906.759909,92133074333.07434,8.394379603616043e-08
87,Alaska,Petersburg Borough,3255,02195,14721756021.756021,6221393421.393421,8500336700.3367,3.82926008080488e-07
88,Alaska,Prince of Wales-Hyder Census Area,6474,02198,19899715099.7151,9739471639.47164,10160243460.24346,6.371894556791329e-07
89,Alaska,Sitka City and Borough,8738,02220,12461616161.616163,5027428127.428127,7434188034.188035,1.1753805472522418e-06
90,Alaska,Skagway Municipality,1061,02230,1201864801.864802,30328930.328930333,1171509971.5099716,9.056687743190661e-07
91,Alaska,Southeast Fairbanks Census Area,6876,02240,64904066304.0663,752810152.8101529,64151282051.28206,1.0718414005355928e-07
92,Alaska,Valdez-Cordova Census Area,9301,02261,104481144781.14478,15799766899.7669,88681377881.37787,1.0488109479355654e-07
93,Alaska,Wrangell City and Borough,2484,02275,8966744366.744368,2384278684.2786846,6582439782.439782,3.7736767552764534e-07
94,Alaska,Yakutat City and Borough,689,02282,24508857808.85781,4696736596.736597,19812121212.121212,3.477669011930254e-08
95,Alaska,Yukon-Koyukuk Census Area,5415,02290,382814374514.3745,5956591556.591557,376857782957.78296,1.436881562455779e-08
96,Arizona,Apache County,71522,04001,29055788655.78866,54182854.18285419,29001605801.605804,2.4661393058462945e-06
97,Arizona,Cochise County,126279,04003,16106190106.190107,137037037.03703701,15969153069.153069,7.907682984386177e-06
98,Arizona,Coconino County,140217,04005,48332918932.91893,109971509.97150998,48222973322.97332,2.9076805169373688e-06
99,Arizona,Gila County,53400,04007,12420176120.17612,97125097.12509713,12323051023.051023,4.333342440935449e-06
100,Arizona,Graham County,37879,04009,12020383320.38332,47837347.837347835,11972545972.545973,3.1638216371738846e-06
101,Arizona,Greenlee County,9504,04011,4787438487.438488,13752913.752913753,4773711473.711474,1.990903734408316e-06
102,Arizona,La Paz County,20701,04012,11690624190.624191,36570836.57083657,11654053354.053354,1.7762918506632767e-06
103,Arizona,Maricopa County,4253913,04013,23891193991.19399,62807562.807562806,23828386428.38643,0.000178522914792601
104,Arizona,Mohave County,206064,04015,34863118363.11836,387360787.3607874,34475731675.731674,5.977074016533595e-06
105,Arizona,Navajo County,108705,04017,25795700595.700596,24087024.08702409,25771613571.61357,4.218012958246989e-06
106,Arizona,Pima County,1019722,04019,23799792799.7928,5335405.335405336,23794457394.457397,4.285544247113324e-05
107,Arizona,Pinal County,419721,04021,13919269619.269619,22325822.325822324,13896943796.943796,3.0202396018346473e-05
108,Arizona,Santa Cruz County,46584,04023,3206708106.7081065,3082103.082103082,3203626003.6260037,1.4541023186624841e-05
109,Arizona,Yavapai County,224645,04025,21051385651.38565,11499611.4996115,21039886039.88604,1.0677101557210562e-05
110,Arizona,Yuma County,207829,04027,14294509194.509193,13260813.26081326,14281248381.24838,1.455257933003143e-05
111,Arkansas,Arkansas County,18124,05001,2677415177.4151773,116498316.4983165,2560916860.916861,7.0771528262386595e-06
112,Arkansas,Ashley County,20537,05003,2435975135.975136,39316239.31623931,2396658896.658897,8.569012481763656e-06
113,Arkansas,Baxter County,41219,05005,1519580419.5804198,83993783.993784,1435586635.5866356,2.8712304070145052e-05
114,Arkansas,Benton County,258980,05007,2289329189.3291893,94664594.66459467,2194664594.6645947,0.00011800436414274924
115,Arkansas,Boone County,37288,05009,1558741258.7412589,30044030.044030044,1528697228.6972287,2.4392011249851754e-05
116,Arkansas,Bradley County,10948,05011,1691064491.064491,9557109.557109557,1681507381.5073817,6.5108248232521595e-06
117,Arkansas,Calhoun County,5202,05013,1637943537.943538,9919709.91970992,1628023828.023828,3.1952849279328007e-06
118,Arkansas,Carroll County,27887,05015,1654493654.4936545,22558922.558922563,1631934731.934732,1.7088305956291958e-05
119,Arkansas,Chicot County,10826,05017,1789147889.1478891,120383320.38332038,1668738668.7386687,6.487534688809561e-06
120,Arkansas,Clark County,22385,05019,2286531986.5319867,43408443.40844341,2243123543.1235433,9.979387924763586e-06
121,Arkansas,Clay County,15061,05021,1661331261.3312614,5102305.102305102,1656203056.2030563,9.093691708629156e-06
122,Arkansas,Cleburne County,25230,05023,1533074333.074333,99015799.01579902,1434058534.0585341,1.7593424118188878e-05
123,Arkansas,Cleveland County,8226,05025,1550764050.7640507,2512302.5123025123,1548251748.251748,5.313089430894309e-06
124,Arkansas,Columbia County,23892,05027,1985884485.884486,1813001.813001813,1984071484.071484,1.2041904836498924e-05
125,Arkansas,Conway County,20906,05029,1467676767.6767676,37347837.34783735,1430328930.3289304,1.4616218379357175e-05
126,Arkansas,Craighead County,105701,05031,1845817145.8171458,14167314.167314166,1831675731.675732,5.7707266724169615e-05
127,Arkansas,Crawford County,62472,05033,1564983164.983165,28878528.878528878,1536104636.1046362,4.0669104520393195e-05
128,Arkansas,Crittenden County,49013,05035,1648225848.2258482,68945868.94586895,1579279979.2799792,3.103502902781422e-05
129,Arkansas,Cross County,16998,05037,1611784511.7845116,15358715.358715357,1596425796.4257965,1.0647535286673805e-05
130,Arkansas,Dallas County,7432,05039,1730406630.4066305,1864801.8648018648,1728541828.5418286,4.299577758132426e-06
131,Arkansas,Desha County,11887,05041,2122584822.5848224,133048433.04843304,1989510489.5104895,5.974836555360282e-06
132,Arkansas,Drew County,18502,05043,2164361564.361564,18932918.932918932,2145454545.4545455,8.623813559322034e-06
133,Arkansas,Faulkner County,122416,05045,1719943019.94302,41932141.93214194,1678010878.010878,7.295304315614003e-05
134,Arkansas,Franklin County,17780,05047,1604869204.8692048,27946127.946127944,1576948976.948977,1.127493676707289e-05
135,Arkansas,Fulton County,12139,05049,1606656306.6563067,5516705.516705517,1601113701.1137013,7.581597728853588e-06
136,Arkansas,Garland County,98296,05051,1902667702.6677027,147215747.21574724,1755451955.4519553,5.5994696804272776e-05
137,Arkansas,Grant County,18086,05053,1639290339.2903392,2900802.900802901,1636389536.3895364,1.105238062075624e-05
138,Arkansas,Greene County,44623,05055,1501061901.0619009,4817404.817404818,1496244496.2444963,2.9823334429634758e-05
139,Arkansas,Hempstead County,22018,05057,1919658119.6581194,35379435.37943538,1884278684.2786841,1.168510803826699e-05
140,Arkansas,Hot Spring County,33520,05059,1611421911.4219112,18052318.05231805,1593369593.3695936,2.103717815344603e-05
141,Arkansas,Howard County,13389,05061,1541854441.8544416,17508417.50841751,1524346024.3460243,8.783438790247218e-06
142,Arkansas,Independence County,37264,05063,1998238798.2387981,19606319.606319606,1978632478.6324787,1.883320950323974e-05
143,Arkansas,Izard County,13559,05065,1512613312.6133125,8909608.90960891,1503703703.7037039,9.01706896551724e-06
144,Arkansas,Jackson County,17225,05067,1661486661.4866614,19580419.58041958,1641906241.9062421,1.0490854812758303e-05
145,Arkansas,Jefferson County,70424,05069,2366692566.692567,111447811.44781145,2255244755.2447553,3.122676589147287e-05
146,Arkansas,Johnson County,26291,05071,1768298368.2983685,59414659.41465942,1708883708.8837087,1.5384897090027284e-05
147,Arkansas,Lafayette County,6915,05073,1411758611.758612,43537943.537943535,1368220668.220668,5.054009313419275e-06
148,Arkansas,Lawrence County,16669,05075,1534162134.1621342,12250712.250712251,1521911421.911422,1.0952674222698728e-05
149,Arkansas,Lee County,9398,05077,1604506604.5066044,43719243.71924372,1560787360.787361,6.021319903089841e-06
150,Arkansas,Lincoln County,13695,05079,1481947681.947682,27635327.635327637,1454338254.3382542,9.416653903689986e-06
151,Arkansas,Little River County,12417,05081,1462755762.7557628,84200984.2009842,1378528878.5288785,9.007428276186003e-06
152,Arkansas,Logan County,21757,05083,1894742294.7422945,60683760.68376068,1834032634.032634,1.1862929588205388e-05
153,Arkansas,Lonoke County,72206,05085,2079357679.3576794,83164983.16498317,1996192696.1926963,3.6171858627534934e-05
154,Arkansas,Madison County,16076,05087,2168039368.039368,7303807.303807303,2160735560.735561,7.440058974420444e-06
155,Arkansas,Marion County,16438,05089,1658430458.4304585,112173012.17301218,1546257446.2574463,1.0630829969347247e-05
156,Arkansas,Miller County,43759,05091,1651515151.5151515,31261331.261331264,1620253820.2538204,2.7007496882892674e-05
157,Arkansas,Mississippi County,42831,05093,2382310282.310282,49831649.831649825,2332478632.4786325,1.836286918285086e-05
158,Arkansas,Monroe County,7249,05095,1609168609.1686091,36726236.72623672,1572442372.4423726,4.610025859797075e-06
159,Arkansas,Montgomery County,8993,05097,2072753172.7531726,52861952.86195286,2019891219.8912199,4.4522199569164484e-06
160,Arkansas,Nevada County,8440,05099,1607459207.4592075,7252007.252007252,1600207200.2072003,5.274316975268678e-06
161,Arkansas,Newton County,7848,05101,2132064232.064232,5931105.931105931,2126133126.133126,3.6912081861371666e-06
162,Arkansas,Ouachita County,24106,05103,1915954415.954416,18052318.05231805,1897902097.902098,1.2701392778187178e-05
163,Arkansas,Perry County,10322,05105,1451774151.7741518,23646723.64672365,1428127428.127428,7.227646354733406e-06
164,Arkansas,Phillips County,19034,05107,1883812483.812484,82051282.05128205,1801761201.7612016,1.0564108041284536e-05
165,Arkansas,Pike County,10808,05109,1590598290.5982907,34990934.99093499,1555607355.6073556,6.947768639072958e-06
166,Arkansas,Poinsett County,24054,05111,1977751877.7518778,13519813.519813519,1964232064.2320642,1.2246007199462019e-05
167,Arkansas,Polk County,20163,05113,2233773633.773634,12380212.380212381,2221393421.393421,9.07673526256879e-06
168,Arkansas,Pope County,63644,05115,2151722351.7223516,47215747.215747215,2104506604.5066044,3.0241767768137346e-05
169,Arkansas,Prairie County,8244,05117,1749831649.8316498,71639471.63947164,1678218078.2180784,4.912353231680967e-06
170,Arkansas,Pulaski County,393463,05119,2091841491.8414917,124061124.06112406,1967780367.7803679,0.00019995270124776245
171,Arkansas,Randolph County,17603,05121,1699145299.145299,9971509.971509973,1689173789.1737893,1.0421071006915162e-05
172,Arkansas,St. Francis County,26294,05123,1664102564.102564,20046620.04662005,1644055944.055944,1.599337303275202e-05
173,Arkansas,Saline County,118009,05125,1891970991.970992,17845117.845117845,1874125874.1258743,6.296748880597014e-05
174,Arkansas,Scott County,10442,05127,2326003626.0036263,14892514.892514892,2311111111.111111,4.5181730769230766e-06
175,Arkansas,Searcy County,7923,05129,1731442631.4426315,6267806.267806267,1725174825.1748252,4.592578029995946e-06
176,Arkansas,Sebastian County,127461,05131,1414555814.5558145,36907536.90753691,1377648277.6482775,9.252071233855353e-05
177,Arkansas,Sevier County,17193,05133,1505516705.5167055,41828541.82854182,1463688163.6881638,1.1746354467113762e-05
178,Arkansas,Sharp County,17043,05135,1570681170.681171,5180005.18000518,1565501165.5011656,1.0886609589041096e-05
179,Arkansas,Stone County,12446,05137,1578425278.4252784,7847707.847707847,1570577570.5775704,7.924473284960423e-06
180,Arkansas,Union County,39732,05139,2732970732.970733,41414141.41414142,2691556591.5565915,1.476171822826955e-05
181,Arkansas,Van Buren County,16684,05141,1875887075.887076,41802641.8026418,1834084434.084434,9.096636823227046e-06
182,Arkansas,Washington County,228529,05143,2466744366.7443666,27039627.039627038,2439704739.7047396,9.367076117073793e-05
183,Arkansas,White County,78804,05145,2699171199.1711993,18311318.31131831,2680859880.859881,2.939504618000541e-05
184,Arkansas,Woodruff County,6660,05147,1538487438.4874384,18699818.6998187,1519787619.7876196,4.382191243886229e-06
185,Arkansas,Yell County,21573,05149,2457549857.5498576,48873348.87334888,2408650608.6506085,8.95646712832534e-06
186,California,Alameda County,1643700,06001,2127246827.2468274,213183113.1831132,1914063714.063714,0.0008587488430624341
187,California,Alpine County,1146,06003,1924838124.8381248,12561512.561512562,1912276612.2766123,5.992856852626874e-07
188,California,Amador County,37829,06005,1569437969.4379694,29448329.448329445,1539963739.96374,2.456486410575532e-05
189,California,Butte County,227075,06007,4343771043.771044,105335405.33540533,4238435638.4356384,5.3575191266514306e-05
190,California,Calaveras County,45235,06009,2685651385.651386,43822843.82284383,2641828541.8285418,1.712261007245027e-05
191,California,Colusa County,21464,06011,2994975394.9753947,14581714.581714582,2980393680.3936806,7.201733160689301e-06
192,California,Contra Costa County,1133247,06013,2081766381.7663817,227479927.47992748,1854286454.2864544,0.0006111499101880046
193,California,Del Norte County,27424,06015,3185029785.029785,578528878.5288786,2606500906.5009065,1.0521385176426166e-05
194,California,El Dorado County,186661,06017,4626677026.677027,203237503.23750323,4423413623.413624,4.219840509871888e-05
195,California,Fresno County,978130,06019,15569023569.02357,137814037.81403783,15431209531.20953,6.338647647948386e-05
196,California,Glenn County,27897,06021,3436881636.881637,33747733.74773375,3403133903.1339035,8.19744411887819e-06
197,California,Humboldt County,135768,06023,10495363895.363895,1254260554.2605543,9241103341.10334,1.4691752162982521e-05
198,California,Imperial County,180216,06025,11607666407.666409,790261590.2615902,10817404817.404818,1.6659818416894125e-05
199,California,Inyo County,18085,06027,26487723387.72339,119217819.21781923,26368505568.505566,6.858560851321301e-07
200,California,Kern County,883053,06029,21141258741.258743,79564879.56487957,21061693861.693863,4.192696968243662e-05
201,California,Kings County,150075,06031,3604066304.066304,5464905.464905465,3598601398.601399,4.1703701904391756e-05
202,California,Lake County,64148,06033,3443201243.2012434,188966588.96658894,3254234654.2346544,1.9712161787880233e-05
203,California,Lassen County,31185,06035,12225123025.123026,463455063.45506346,11761667961.667963,2.651409655640164e-06
204,California,Los Angeles County,10098052,06037,12304946904.946903,1795027195.027195,10509919709.91971,0.0009608115265113803
205,California,Madera County,155013,06039,5576974876.974877,41958041.95804196,5535016835.016835,2.8005876878155604e-05
206,California,Marin County,260295,06041,2145014245.0142453,797435897.4358974,1347604247.6042476,0.00019315388806672945
207,California,Mariposa County,17540,06043,3788707588.7075887,36260036.26003626,3752447552.447552,4.6742825195676485e-06
208,California,Mendocino County,87422,06045,10044392644.392645,962962962.962963,9081429681.429682,9.626457844932322e-06
209,California,Merced County,269075,06047,5124346024.3460245,112768712.76871277,5011577311.5773115,5.369068125087211e-05
210,California,Modoc County,8938,06049,10886816886.816887,739782439.7824398,10147034447.034447,8.808484928926405e-07
211,California,Mono County,14174,06051,8111577311.5773115,214685314.6853147,7896866096.866097,1.7948892416480264e-06
212,California,Monterey County,433212,06053,9767469567.469566,1270732970.7329707,8496762496.762497,5.098553715783698e-05
213,California,Napa County,140530,06055,2042424242.4242425,104169904.16990417,1938254338.2543383,7.25033847346197e-05
214,California,Nevada County,99092,06057,2522144522.144522,41517741.51774152,2480626780.6267805,3.99463558056736e-05
215,California,Orange County,3164182,06059,2455503755.5037556,407925407.92540795,2047578347.5783477,0.0015453289021844997
216,California,Placer County,380077,06061,3891375291.3752913,247215747.21574724,3644159544.159544,0.00010429757407552186
217,California,Plumas County,18699,06063,6768790468.790468,156384356.38435638,6612380212.380213,2.8278773148873497e-06
218,California,Riverside County,2383286,06065,18915876715.876717,251074851.07485107,18664801864.801865,0.00012768879183734639
219,California,Sacramento County,1510023,06067,2574514374.5143743,76068376.06837606,2498420098.4200983,0.000604391151413999
220,California,San Benito County,59416,06069,3601320901.3209014,4558404.558404558,3596762496.762497,1.6519300357886094e-05
221,California,San Bernardino County,2135413,06071,52071561771.561775,124035224.03522404,51947526547.52654,4.1107116005731684e-05
222,California,San Diego County,3302833,06073,11721522921.522923,826340326.3403264,10895182595.182596,0.0003031461814564152
223,California,San Francisco County,870044,06075,600595700.5957006,479202279.2022792,121393421.39342138,0.007167142914444208
224,California,San Joaquin County,732212,06077,3694638694.638695,91116291.11629112,3603522403.5224032,0.0002031934085616537
225,California,San Luis Obispo County,281455,06079,9364283864.283865,820979020.9790211,8543304843.304844,3.2944510954747054e-05
226,California,San Mateo County,765935,06081,1919088319.0883193,757705257.7052578,1161383061.3830614,0.0006595024720679735
227,California,Santa Barbara County,443738,06083,9813727013.727015,2729836829.8368297,7083890183.890184,6.264044027801645e-05
228,California,Santa Clara County,1922200,06085,3377544677.5446773,36182336.18233618,3341362341.362341,0.0005752743353228432
229,California,Santa Cruz County,273765,06087,1572571872.5718725,419580419.5804196,1152991452.991453,0.00023743888065233507
230,California,Shasta County,179085,06089,9964827764.827765,186531986.53198653,9778295778.295778,1.8314541108226942e-05
231,California,Sierra County,2930,06091,2492126392.1263924,23310023.31002331,2468816368.816369,1.1868035375205882e-06
232,California,Siskiyou County,43540,06093,16439627039.62704,179901579.9015799,16259751359.75136,2.6777777246813818e-06
233,California,Solano County,438530,06095,2347034447.034447,218673918.6739187,2128360528.3605285,0.00020604122006425232
234,California,Sonoma County,501317,06097,4578995078.995079,497539497.53949755,4081455581.455581,0.00012282799359076055
235,California,Stanislaus County,539301,06099,3923051023.051023,51437451.43745144,3871613571.6135716,0.00013929618491734846
236,California,Sutter County,95872,06101,1575990675.990676,15747215.747215748,1560243460.2434602,6.144682060390764e-05
237,California,Tehama County,63373,06103,7672027972.027972,32271432.271432273,7639756539.75654,8.295159625861524e-06
238,California,Trinity County,12862,06105,8307692307.692307,73400673.4006734,8234265734.265735,1.5620093418259022e-06
239,California,Tulare County,460477,06107,12532116032.116032,37399637.3996374,12494716394.716394,3.6853737648236704e-05
240,California,Tuolumne County,53932,06109,5890779590.779591,138694638.6946387,5752084952.084952,9.37607849140881e-06
241,California,Ventura County,848112,06111,5719709919.70992,945998445.998446,4773711473.711474,0.00017766302062252796
242,California,Yolo County,214977,06113,2651023051.023051,22973322.973322973,2628049728.0497284,8.180096354551635e-05
243,California,Yuba County,75493,06115,1667469567.4695673,31002331.002331004,1636467236.4672365,4.613169045961003e-05
244,Colorado,Adams County,497115,08001,3066304066.3040667,42061642.06164206,3024216524.2165246,0.00016437811116344793
245,Colorado,Alamosa County,16444,08003,1873452473.4524736,1813001.813001813,1871639471.6394715,8.785880106276985e-06
246,Colorado,Arapahoe County,636671,08005,2086091686.0916862,19010619.01061901,2067081067.081067,0.000308004852900639
247,Colorado,Archuleta County,12908,08007,3510774410.7744107,13830613.830613831,3496969696.969697,3.6911958405545928e-06
248,Colorado,Baca County,3563,08009,6623517223.517224,6138306.138306139,6617378917.378917,5.384307056442933e-07
